# Time   PolyLine_ID   Passnumber   U  V   R G B A

# MIT Coop

0  10  0  0.880371  0.592153  1  1  1  1 
0  1010  0  0.864919  0.585619  1  1  1  1 
0  1010  0  0.859012  0.583239  1  1  1  1 
0  1010  0  0.863216  0.573164  1  1  1  1 
0  1010  0  0.869027  0.57547  1  1  1  1 
0  2010  0  0.887973  0.59542  1  1  1  1 
0  2010  0  0.880346  0.592156  1  1  1  1 
0  2010  0  0.884345  0.582355  1  1  1  1 
0  2010  0  0.893047  0.585584  1  1  1  1 

# Tall building

0  11  0  1.04183  0.648388  1  1  1  1
0  11  0  1.07965  0.643251  1  1  1  1
0  11  0  1.08502  0.686031  1  1  1  1
0  11  0  1.04748  0.690872  1  1  1  1

# Another tall building

0  12  0  0.894823  0.770432  1  1  1  1
0  12  0  0.862403  0.718283  1  1  1  1
0  12  0  0.897722  0.696469  1  1  1  1
0  12  0  0.929807  0.750145  1  1  1  1

# East campus dorm 1

0  13  0  0.401921  0.312789  1  1  1  1
0  13  0  0.417823  0.319749  1  1  1  1
0  13  0  0.366072  0.441999  1  1  1  1
0  13  0  0.350293  0.435509  1  1  1  1

# East campus dorm 2

0  14  0  0.338327  0.286681  1  1  1  1
0  14  0  0.3543  0.293144  1  1  1  1
0  14  0  0.302517  0.41596  1  1  1  1
0  14  0  0.287384  0.409111  1  1  1  1

# Building next to MIT Coop (lies west of Coop)

0  15  0  0.499757  0.723902  1  1  1  1
0  15  0  0.512974  0.722391  1  1  1  1
0  15  0  0.518824  0.76893  1  1  1  1
0  15  0  0.505452  0.770747  1  1  1  1

0  1015  0  0.431225  0.732539  1  1  1  1
0  1015  0  0.499318  0.723855  1  1  1  1
0  1015  0  0.504843  0.77096  1  1  1  1
0  1015  0  0.437834  0.779411  1  1  1  1

0  2015  0  0.423376  0.781067  1  1  1  1
0  2015  0  0.417254  0.734035  1  1  1  1
0  2015  0  0.430652  0.732811  1  1  1  1
0  2015  0  0.436738  0.779544  1  1  1  1

# Apartment building near Charles River

0  16  0  0.662107  0.341501  1  1  1  1
0  16  0  0.667446  0.342607  1  1  1  1
0  16  0  0.667814  0.340948  1  1  1  1
0  16  0  0.681345  0.343898  1  1  1  1
0  16  0  0.68058  0.346296  1  1  1  1
0  16  0  0.693983  0.349176  1  1  1  1
0  16  0  0.694784  0.345414  1  1  1  1
0  16  0  0.708224  0.348414  1  1  1  1
0  16  0  0.707304  0.352008  1  1  1  1
0  16  0  0.716417  0.353944  1  1  1  1
0  16  0  0.720726  0.344177  1  1  1  1
0  16  0  0.718626  0.343621  1  1  1  1
0  16  0  0.72399  0.329294  1  1  1  1
0  16  0  0.72645  0.330165  1  1  1  1
0  16  0  0.730408  0.321594  1  1  1  1
0  16  0  0.72778  0.320122  1  1  1  1
0  16  0  0.730592  0.314128  1  1  1  1
0  16  0  0.732525  0.31505  1  1  1  1
0  16  0  0.733262  0.313944  1  1  1  1
0  16  0  0.750443  0.320891  1  1  1  1
0  16  0  0.74994  0.322149  1  1  1  1
0  16  0  0.75204  0.323253  1  1  1  1
0  16  0  0.749555  0.329428  1  1  1  1
0  16  0  0.747482  0.328668  1  1  1  1
0  16  0  0.736852  0.353759  1  1  1  1
0  16  0  0.738693  0.354681  1  1  1  1
0  16  0  0.733262  0.368045  1  1  1  1
0  16  0  0.730945  0.367297  1  1  1  1
0  16  0  0.72958  0.370626  1  1  1  1
0  16  0  0.658517  0.355879  1  1  1  1

0  1016  0  0.593465  0.342142  1  1  1  1
0  1016  0  0.596663  0.328829  1  1  1  1
0  1016  0  0.616101  0.333126  1  1  1  1
0  1016  0  0.614587  0.340456  1  1  1  1
0  1016  0  0.632931  0.343911  1  1  1  1
0  1016  0  0.634614  0.337002  1  1  1  1
0  1016  0  0.660869  0.342816  1  1  1  1
0  1016  0  0.65784  0.355791  1  1  1  1

0  2016  0  0.614951  0.340096  1  1  1  1
0  2016  0  0.616229  0.332987  1  1  1  1
0  2016  0  0.634359  0.336494  1  1  1  1
0  2016  0  0.632797  0.343556  1  1  1  1

0  3016 00  0.593558  0.340764  1  1  1  1
0  3016 00  0.585326  0.339162  1  1  1  1
0  3016 00  0.585702  0.336288  1  1  1  1
0  3016 00  0.580338  0.33518  1  1  1  1
0  3016 00  0.582047  0.32889  1  1  1  1
0  3016 00  0.589129  0.330422  1  1  1  1
0  3016 00  0.59  0.32743  1  1  1  1
0  3016 00  0.596209  0.32882  1  1  1  1

0  4016  0  0.584826  0.340398  1  1  1  1
0  4016  0  0.568507  0.336911  1  1  1  1
0  4016  0  0.574055  0.323949  1  1  1  1
0  4016  0  0.582397  0.325525  1  1  1  1
0  4016  0  0.583084  0.322249  1  1  1  1
0  4016  0  0.590249  0.323917  1  1  1  1
0  4016  0  0.589204  0.330253  1  1  1  1
0  4016  0  0.581846  0.328716  1  1  1  1
0  4016  0  0.580233  0.335453  1  1  1  1
0  4016  0  0.585466  0.336438  1  1  1  1

# Short bldg across from MIT Coop

0  17  0  0.556341  0.643706  1  1  1  1
0  17  0  0.560739  0.67745  1  1  1  1
0  17  0  0.519788  0.682575  1  1  1  1
0  17  0  0.515752  0.649111  1  1  1  1

# Restaurant near tennis courts

0  18  0  0.351323  0.188967  1  1  1  1
0  18  0  0.385156  0.203062  1  1  1  1
0  18  0  0.36787  0.243243  1  1  1  1
0  18  0  0.334214  0.228995  1  1  1  1
0  1018  0  0.327027  0.225004  1  1  1  1
0  1018  0  0.33399  0.22781  1  1  1  1
0  1018  0  0.333357  0.229209  1  1  1  1
0  1018  0  0.367789  0.243778  1  1  1  1
0  1018  0  0.368404  0.242357  1  1  1  1
0  1018  0  0.375458  0.245017  1  1  1  1
0  1018  0  0.367853  0.26287  1  1  1  1
0  1018  0  0.319759  0.242315  1  1  1  1
0  2018  0  0.350446  0.189504  1  1  1  1
0  2018  0  0.343518  0.186287  1  1  1  1
0  2018  0  0.351079  0.168176  1  1  1  1
0  2018  0  0.400296  0.188918  1  1  1  1
0  2018  0  0.3924  0.207179  1  1  1  1
0  2018  0  0.385303  0.204117  1  1  1  1
0  2018  0  0.385865  0.20295  1  1  1  1
0  2018  0  0.35141  0.188218  1  1  1  1

# Short, street corner bldg with trapezoidal-like roof

0  19  0  0.818036  0.518008  1  1  1  1
0  19  0  0.787213  0.521742  1  1  1  1
0  19  0  0.785908  0.511758  1  1  1  1
0  19  0  0.770369  0.50483  1  1  1  1
0  19  0  0.767002  0.512138  1  1  1  1
0  19  0  0.75  0.504833  1  1  1  1
0  19  0  0.752705  0.497457  1  1  1  1
0  19  0  0.721202  0.48459  1  1  1  1
0  19  0  0.718685  0.46531  1  1  1  1
0  19  0  0.726198  0.448775  1  1  1  1
0  19  0  0.808504  0.483083  1  1  1  1
0  19  0  0.81499  0.490806  1  1  1  1

# Tall tri-level building

0  20  0  1.10619  0.666867  1  1  1  1
0  20  0  1.10315  0.640487  1  1  1  1
0  20  0  1.14232  0.636103  1  1  1  1
0  20  0  1.14888  0.641546  1  1  1  1
0  20  0  1.15505  0.6409  1  1  1  1
0  20  0  1.15414  0.634509  1  1  1  1
0  20  0  1.18054  0.630977  1  1  1  1
0  20  0  1.18306  0.655901  1  1  1  1
0  20  0  1.17099  0.657433  1  1  1  1
0  20  0  1.17049  0.652063  1  1  1  1
0  20  0  1.13072  0.656561  1  1  1  1
0  20  0  1.13157  0.662962  1  1  1  1

0  1020  0  1.12235  0.690558  1  1  1  1
0  1020  0  1.11933  0.664732  1  1  1  1
0  1020  0  1.13191  0.663218  1  1  1  1
0  1020  0  1.13121  0.656875  1  1  1  1
0  1020  0  1.17016  0.652584  1  1  1  1
0  1020  0  1.17066  0.657844  1  1  1  1
0  1020  0  1.19644  0.655039  1  1  1  1
0  1020  0  1.19975  0.680851  1  1  1  1

0  2020  0  1.12197  0.690732  1  1  1  1
0  2020  0  1.11039  0.69224  1  1  1  1
0  2020  0  1.10739  0.667284  1  1  1  1
0  2020  0  1.11877  0.666035  1  1  1  1

# Corner building between apt complex and restaurant

0  21  0  0.576559  0.270039  1  1  1  1
0  21  0  0.553407  0.32503  1  1  1  1
0  21  0  0.548335  0.322959  1  1  1  1
0  21  0  0.542387  0.335882  1  1  1  1
0  21  0  0.532566  0.331876  1  1  1  1
0  21  0  0.561873  0.264083  1  1  1  1

0  1021  0  0.577579  0.263997  1  1  1  1
0  1021  0  0.575581  0.268807  1  1  1  1
0  1021  0  0.563273  0.263837  1  1  1  1
0  1021  0  0.565486  0.258911  1  1  1  1

0  2021  0  0.47129  0.304805  1  1  1  1
0  2021  0  0.466322  0.302829  1  1  1  1
0  2021  0  0.471456  0.290516  1  1  1  1
0  2021  0  0.476408  0.29253  1  1  1  1

0  3021  0  0.53905  0.316339  1  1  1  1
0  3021  0  0.532444  0.331718  1  1  1  1
0  3021  0  0.5103  0.322498  1  1  1  1
0  3021  0  0.517058  0.30676  1  1  1  1

0  4021  0  0.516281  0.307784  1  1  1  1
0  4021  0  0.510119  0.322444  1  1  1  1
0  4021  0  0.471445  0.306262  1  1  1  1
0  4021  0  0.47764  0.291778  1  1  1  1

# Building with curved front

0  22  0  0.906223  0.699924  1  1  1  1
0  22  0  0.916161  0.694288  1  1  1  1
0  22  0  0.926575  0.688478  1  1  1  1
0  22  0  0.937435  0.684606  1  1  1  1
0  22  0  0.948589  0.68019  1  1  1  1
0  22  0  0.959677  0.677059  1  1  1  1
0  22  0  0.97105  0.674912  1  1  1  1
0  22  0  0.982666  0.673364  1  1  1  1
0  22  0  0.989868  0.729703  1  1  1  1
0  22  0  0.960669  0.733175  1  1  1  1
0  22  0  0.93244  0.749804  1  1  1  1

0  1022  0  0.932289  0.75105  1  1  1  1
0  1022  0  0.960606  0.733794  1  1  1  1
0  1022  0  0.989949  0.730483  1  1  1  1
0  1022  0  0.993187  0.757666  1  1  1  1
0  1022  0  0.944728  0.774531  1  1  1  1

# Tall building near T-bridge

0  23  0  1.14569  0.528842  1  1  1  1
0  23  0  1.15959  0.496372  1  1  1  1
0  23  0  1.20988  0.517466  1  1  1  1
0  23  0  1.20591  0.525749  1  1  1  1
0  23  0  1.21066  0.528068  1  1  1  1
0  23  0  1.21321  0.547272  1  1  1  1
0  23  0  1.21552  0.547108  1  1  1  1
0  23  0  1.21783  0.565287  1  1  1  1
0  23  0  1.16961  0.57162  1  1  1  1
0  23  0  1.16855  0.563659  1  1  1  1
0  23  0  1.15374  0.557667  1  1  1  1
0  23  0  1.15071  0.531195  1  1  1  1

0  1023  0  1.12056  0.58227  1  1  1  1
0  1023  0  1.11814  0.561683  1  1  1  1
0  1023  0  1.14395  0.499233  1  1  1  1
0  1023  0  1.15627  0.503794  1  1  1  1
0  1023  0  1.14595  0.52915  1  1  1  1
0  1023  0  1.1502  0.531479  1  1  1  1
0  1023  0  1.15326  0.557843  1  1  1  1
0  1023  0  1.16837  0.56402  1  1  1  1
0  1023  0  1.16922  0.571962  1  1  1  1
0  1023  0  1.21804  0.565772  1  1  1  1
0  1023  0  1.21604  0.546941  1  1  1  1
0  1023  0  1.21359  0.547188  1  1  1  1
0  1023  0  1.21083  0.525864  1  1  1  1
0  1023  0  1.24938  0.540886  1  1  1  1
0  1023  0  1.25234  0.566371  1  1  1  1

# Fire station

0  24  0  0.500389  0.685721  1  1  1  1
0  24  0  0.484386  0.687902  1  1  1  1
0  24  0  0.484208  0.686285  1  1  1  1
0  24  0  0.47751  0.687062  1  1  1  1
0  24  0  0.47457  0.663652  1  1  1  1
0  24  0  0.498007  0.661026  1  1  1  1
0  1024  0  0.471046  0.636242  1  1  1  1
0  1024  0  0.500639  0.632194  1  1  1  1
0  1024  0  0.504061  0.659955  1  1  1  1
0  1024  0  0.474419  0.663328  1  1  1  1

# Bldg across from Media Lab

0  25  0  0.40062  0.697488  1  1  1  1
0  25  0  0.388955  0.604177  1  1  1  1
0  25  0  0.431074  0.598611  1  1  1  1
0  25  0  0.43364  0.616663  1  1  1  1
0  25  0  0.425237  0.617844  1  1  1  1
0  25  0  0.43464  0.693534  1  1  1  1
0  1025  0  0.387692  0.595271  1  1  1  1
0  1025  0  0.384524  0.568928  1  1  1  1
0  1025  0  0.452811  0.559422  1  1  1  1
0  1025  0  0.457526  0.595332  1  1  1  1
0  1025  0  0.448026  0.596327  1  1  1  1
0  1025  0  0.447183  0.587774  1  1  1  1
0  2025  0  0.398976  0.566558  1  1  1  1
0  2025  0  0.398103  0.55797  1  1  1  1
0  2025  0  0.388069  0.558944  1  1  1  1
0  2025  0  0.385779  0.541807  1  1  1  1
0  2025  0  0.428045  0.536551  1  1  1  1
0  2025  0  0.431279  0.562068  1  1  1  1
0  3025  0  0.387965  0.558929  1  1  1  1
