# Time   PolyLine_ID   Passnumber   X Y Z R G B A

# Bldg 8


# Bldg 9

0  5  0  328286.605074  4692085.17496  4.22481244802  0.956862747669  0.552941203117  0.937254905701  1
0  5  0  328286.457654  4692083.74751  1.74315494299  0.956862747669  0.552941203117  0.937254905701  1
0  5  0  328286.301799  4692080.88505  1.74315494299  0.956862747669  0.552941203117  0.937254905701  1
0  5  0  328286.293364  4692079.45004  4.22481244802  0.956862747669  0.552941203117  0.937254905701  1
0  5  0  328286.440783  4692080.87749  6.70646995306  0.956862747669  0.552941203117  0.937254905701  1
0  5  0  328286.596638  4692083.73995  6.70646995306  0.956862747669  0.552941203117  0.937254905701  1
0  5  0  328286.605074  4692085.17496  4.22481244802  0.956862747669  0.552941203117  0.937254905701  1

# Bldg 7

0  6  0  328289.679129  4692131.62005  2.95827493072  0.956862747669  0.552941203117  0.937254905701  1
0  6  0  328287.881202  4692131.94226  -0.198887735605  0.956862747669  0.552941203117  0.937254905701  1
0  6  0  328284.260667  4692132.38471  -0.198887735605  0.956862747669  0.552941203117  0.937254905701  1
0  6  0  328282.438059  4692132.50495  2.95827493072  0.956862747669  0.552941203117  0.937254905701  1
0  6  0  328284.235985  4692132.18274  6.11543759704  0.956862747669  0.552941203117  0.937254905701  1
0  6  0  328287.85652  4692131.74029  6.11543759704  0.956862747669  0.552941203117  0.937254905701  1
0  6  0  328289.679129  4692131.62005  2.95827493072  0.956862747669  0.552941203117  0.937254905701  1

# Bldg 2

0  7  0  328196.813839  4691936.94377  13.3855428696  0.956862747669  0.552941203117  0.937254905701  1
0  7  0  328196.885415  4691935.50676  10.8993811607  0.956862747669  0.552941203117  0.937254905701  1
0  7  0  328196.857291  4691932.63442  10.8993811607  0.956862747669  0.552941203117  0.937254905701  1
0  7  0  328196.75759  4691931.19909  13.3855428696  0.956862747669  0.552941203117  0.937254905701  1
0  7  0  328196.686013  4691932.6361  15.8717045784  0.956862747669  0.552941203117  0.937254905701  1
0  7  0  328196.714138  4691935.50844  15.8717045784  0.956862747669  0.552941203117  0.937254905701  1
0  7  0  328196.813839  4691936.94377  13.3855428696  0.956862747669  0.552941203117  0.937254905701  1

