# This interpolated & filtered version of the aircraft's GPS/IMU
# information was generated with a time constant tau=1/video_PRF=0.04166 sec


# Img  Rel time       Rel_x  	 Rel_y	     Rel_z       Roll 	      Pitch        Yaw

 174        7.25   -47378.59    2403.358    2991.735   -0.6826347    3.147587    -161.6672   
 175    7.291667   -47377.02    2398.351      2991.7   -0.6896103    3.147574    -161.6647   
 176    7.333333    -47375.5    2393.512    2991.664   -0.6976117    3.147576    -161.6631   
 177       7.375    -47373.9     2388.43    2991.625   -0.7031314    3.147583    -161.6611   
 178    7.416667   -47372.27    2383.244    2991.588   -0.7083664    3.147584    -161.6588   
 179    7.458333   -47370.65    2378.099    2991.556   -0.7158049    3.147581    -161.6565   
 180         7.5   -47369.01    2372.891    2991.523   -0.7235999    3.147588    -161.6542   
 181    7.541667    -47367.4    2367.757    2991.485   -0.7305854    3.147574     -161.653   
 182    7.583333   -47365.76    2362.563     2991.45   -0.738195    3.147593    -161.6528   
 183       7.625   -47364.19     2357.56    2991.419   -0.7460072    3.148394     -161.652   
 184    7.666667   -47362.66    2352.698    2991.381   -0.7519636    3.150626    -161.6498   
 185    7.708333   -47360.96    2347.297    2991.337   -0.757118     3.15259    -161.6478   
 186        7.75   -47359.14    2341.509    2991.297   -0.7634946    3.153635    -161.6473   
 187    7.791667   -47357.43    2336.077    2991.258   -0.7700447    3.155362    -161.6473   
 188    7.833333   -47355.81    2330.919     2991.22   -0.7753623    3.157454    -161.6473   
 189       7.875   -47354.17    2325.708    2991.188   -0.7801169     3.15857    -161.6473   
 190    7.916667   -47352.55     2320.57    2991.155   -0.7856613    3.159649    -161.6473   
 191    7.958333   -47350.91    2315.372    2991.109   -0.7923343    3.161756    -161.6473   
 192           8   -47349.33    2310.344    2991.052   -0.798275    3.164293    -161.6465   
 193    8.041667   -47347.79      2305.5    2991.002   -0.8023023    3.167149    -161.6443   
 194    8.083333   -47346.19    2300.428    2990.961   -0.8058978    3.169861    -161.6423   
 195       8.125   -47344.57    2295.279    2990.922   -0.8096637    3.172301    -161.6418   
