# Img     DayMonthYear	      Irig time		GPS time

292    271204		191355.213470		191442.187317
293    271204		191355.263721		191442.247253
294    271204		191355.314346		191442.287292
295    271204		191355.364971		191442.347290
296    271204		191355.414974		191442.407288
297    271204		191355.465096		191442.447266
298    271204		191355.490227		191442.467285
299    271204		191355.540596		191442.527283
301    271204		191355.590851		191442.567261
302    271204		191355.641346		191442.627258
303    271204		191355.691475		191442.667236
304    271204		191355.741844		191442.727234
305    271204		191355.769348		191442.747253
306    271204		191355.825726		191442.807251
307    271204		191355.854706		191442.827209
308    271204		191355.917847		191442.907227
310    271204		191355.948097		191442.927185
311    271204		191356.007229		191442.987183
312    271204		191356.065350		191443.047180
313    271204		191356.094353		191443.087219
314    271204		191356.151474		191443.127197
315    271204		191356.208473		191443.187195
316    271204		191356.237099		191443.227234
317    271204		191356.294209		191443.287231
319    271204		191356.351227		191443.327209
320    271204		191356.379601		191443.367188
321    271204		191356.435223		191443.427185
322    271204		191356.491604		191443.467224
323    271204		191356.520348		191443.507202
324    271204		191356.576221		191443.567200
325    271204		191356.633331		191443.607178
326    271204		191356.661598		191443.647156
328    271204		191356.718849		191443.707153
329    271204		191356.747601		191443.727173
330    271204		191356.805347		191443.787170
331    271204		191356.862846		191443.847168
332    271204		191356.891727		191443.867188
333    271204		191356.949348		191443.927124
334    271204		191357.007107		191443.987122
335    271204		191357.035351		191444.027161
337    271204		191357.093464		191444.067139
338    271204		191357.122478		191444.107117
339    271204		191357.180847		191444.167053
340    271204		191357.239101		191444.227051
341    271204		191357.268227		191444.247070
342    271204		191357.326351		191444.307068
343    271204		191357.355476		191444.347046
344    271204		191357.413727		191444.407043
346    271204		191357.471725		191444.447021
347    271204		191357.500854		191444.487061
348    271204		191357.559227		191444.547058
349    271204		191357.617352		191444.607056
350    271204		191357.646477		191444.627014
351    271204		191357.704586		191444.687012
352    271204		191357.733727		191444.707031
353    271204		191357.791855		191444.767029
355    271204		191357.850227		191444.827026
356    271204		191357.879227		191444.867004
357    271204		191357.937229		191444.927002
358    271204		191357.966476		191444.947021
359    271204		191358.024853		191445.007019
360    271204		191358.082729		191445.067017
361    271204		191358.111980		191445.106995
362    271204		191358.170231		191445.146973
364    271204		191358.199478		191445.186951
365    271204		191358.257603		191445.246948
366    271204		191358.315979		191445.306946
367    271204		191358.344978		191445.326904
368    271204		191358.403339		191445.366943
369    271204		191358.461475		191445.446899
370    271204		191358.490608		191445.466919
371    271204		191358.549088		191445.526917
373    271204		191358.577976		191445.566895
374    271204		191358.636353		191445.626892
375    271204		191358.694607		191445.686890
376    271204		191358.723480		191445.706909
377    271204		191358.781731		191445.766907
378    271204		191358.810856		191445.786865
379    271204		191358.868961		191445.846863
381    271204		191358.927105		191445.906860
382    271204		191358.956226		191445.946899
383    271204		191359.014732		191446.006836
