# Img   rel_time   rel_X   rel_Y   rel_Z   roll   pitch   yaw
117    4.875131   -47471.34    2699.843    2994.031   -0.7196045    3.059692    161.7352   
118    4.925136   -47469.01    2692.403    2993.969   -0.7196045    3.059692    161.7407   
120    4.975135   -47467.46    2687.452    2993.938   -0.7141113    3.059692    161.7407   
121    5.025136   -47465.18    2679.976    2993.812   -0.7141113    3.065186    161.7462   
122    5.050132    -47464.4    2677.496    2993.812   -0.7196045    3.065186    161.7462   
123    5.100134   -47462.85    2672.546    2993.781   -0.7196045    3.065186    161.7517   
124    5.150134   -47460.53    2665.106    2993.719   -0.7086182    3.065186    161.7572   
125    5.200134    -47458.2    2657.666    2993.656   -0.7196045    3.070679    161.7572   
126    5.250135   -47456.65    2652.715    2993.625   -0.7141113    3.070679    161.7627   
127    5.300137   -47454.33    2645.275    2993.562   -0.7086182    3.070679    161.7682   
129    5.350133   -47452.78    2640.315    2993.531   -0.7141113    3.070679    161.7682   
130    5.400132   -47450.45    2632.875    2993.469   -0.7086182    3.076172    161.7737   
131    5.425134   -47449.68    2630.395    2993.469   -0.703125    3.076172    161.7737   
132    5.475136   -47448.12    2625.435    2993.438   -0.7086182    3.081665    161.7737   
133    5.525135    -47445.8    2618.005    2993.375   -0.703125    3.081665    161.7792   
134    5.575135   -47444.25    2613.044    2993.344   -0.6976318    3.081665    161.7792   
135    5.625137   -47441.92    2605.604    2993.281   -0.6921387    3.087158    161.7792   
136    5.675134   -47440.37    2600.644     2993.25   -0.6866455    3.087158    161.7847   
138    5.725133   -47438.04    2593.204    2993.188   -0.6811523    3.092651    161.7847   
139    5.775135   -47435.71    2585.764    2993.156   -0.6811523    3.092651    161.7847   
140    5.800135   -47434.94    2583.284    2993.125   -0.6756592    3.092651    161.7847   
141    5.850135   -47433.38    2578.324    2993.094   -0.670166    3.098145    161.7847   
142    5.900135   -47431.05    2570.884    2993.031   -0.6646729    3.098145    161.7847   
143    5.950134    -47429.5    2565.924        2993   -0.6591797    3.098145    161.7792   
144    6.000135    -47427.2    2558.448    2992.906   -0.6536865    3.098145    161.7792   
145    6.050135   -47425.65    2553.487    2992.844   -0.6536865    3.098145    161.7792   
147    6.100136   -47423.32    2546.047    2992.812   -0.6481934    3.098145    161.7737   
148    6.150134   -47421.76    2541.087    2992.781   -0.6427002    3.098145    161.7737   
149    6.175136   -47420.98    2538.607     2992.75   -0.6427002    3.098145    161.7682   
150    6.225136   -47418.65    2531.158    2992.688   -0.6427002    3.103638    161.7682   
151    6.275134    -47417.1    2526.198    2992.656   -0.6427002    3.103638    161.7627   
152    6.325137   -47414.77    2518.758    2992.625   -0.637207    3.109131    161.7572   
153    6.375136   -47412.43    2511.308    2992.562   -0.637207    3.109131    161.7517   
154    6.425137   -47410.88    2506.348    2992.531   -0.637207    3.114624    161.7462   
156    6.475136   -47410.88    2506.348    2992.531   -0.637207    3.114624    161.7407   
157    6.525134   -47406.98    2493.938    2992.438   -0.637207    3.120117    161.7352   
158    6.550135    -47406.2    2491.458    2992.406   -0.637207    3.120117    161.7352   
159    6.600136   -47403.87    2484.018    2992.375   -0.637207     3.12561    161.7297   
160    6.650136   -47402.31    2479.048    2992.344   -0.637207     3.12561    161.7242   
161    6.700135   -47399.97    2471.608    2992.281   -0.6427002    3.131104    161.7188   
162    6.750136   -47398.42    2466.639     2992.25   -0.6427002    3.136597    161.7133   
163    6.800137   -47396.08    2459.189    2992.188   -0.6427002    3.136597    161.7078   
165    6.850137   -47394.53    2454.229    2992.156   -0.6427002    3.136597    161.7023   
166    6.900137   -47392.19     2446.78    2992.094   -0.6481934    3.136597    161.6968   
167    6.925141   -47391.41    2444.299    2992.094   -0.6481934    3.136597    161.6968   
168    6.975136   -47389.85    2439.339    2992.062   -0.6481934     3.14209    161.6858   
169    7.025139   -47387.54    2431.862    2991.938   -0.6591797     3.14209    161.6858   
170    7.075138    -47385.2    2424.413    2991.875   -0.6591797     3.14209    161.6803   
171     7.12514   -47383.64    2419.443    2991.844   -0.6646729     3.14209    161.6748   
172    7.175138   -47381.31    2411.994    2991.812   -0.6756592    3.147583    161.6748   
174    7.225138   -47379.74    2407.034     2991.75   -0.6811523    3.147583    161.6693   
175    7.275137    -47377.4    2399.584    2991.719   -0.6811523    3.147583    161.6638   
176    7.300138   -47376.63    2397.095    2991.688   -0.6921387    3.147583    161.6638   
177    7.350138   -47375.06    2392.134    2991.656   -0.703125    3.147583    161.6638   
178    7.400135   -47372.72    2384.685    2991.594   -0.703125    3.147583    161.6583   
179    7.450135   -47371.16    2379.715    2991.562   -0.7141113    3.147583    161.6583   
180    7.500262   -47368.82    2372.265    2991.531   -0.7250977    3.147583    161.6528   
181    7.550264   -47367.25    2367.296    2991.469   -0.7305908    3.147583    161.6528   
183    7.600265   -47364.91    2359.846    2991.438   -0.7415771    3.147583    161.6528   
184    7.650263   -47363.35    2354.876    2991.406   -0.7525635    3.147583    161.6528   
185    7.675263   -47362.57    2352.396    2991.375   -0.7525635    3.153076    161.6473   
186    7.725264   -47360.22    2344.946    2991.312   -0.7580566    3.153076    161.6473   
187    7.775263   -47357.88    2337.497    2991.281   -0.769043    3.153076    161.6473   
188    7.825264   -47356.32    2332.527    2991.219   -0.7745361    3.158569    161.6473   
189    7.875263   -47353.97    2325.077    2991.188   -0.7800293    3.158569    161.6473   
190    7.925268   -47352.41    2320.108    2991.156   -0.7855225    3.158569    161.6473   
192    7.975262   -47350.06    2312.658    2991.094   -0.7965088    3.164062    161.6473   
193    8.025265   -47348.48    2307.669        2991   -0.802002    3.164062    161.6473   
194    8.050266   -47347.69     2305.18        2991   -0.802002    3.169556    161.6418   
195    8.100262   -47345.34     2297.73    2990.938   -0.8074951    3.169556    161.6418   
196    8.150265   -47343.78     2292.76    2990.906   -0.8129883    3.175049    161.6418   
197    8.200387   -47341.43     2285.31    2990.844   -0.8129883    3.175049    161.6418   
198    8.250388   -47339.86     2280.34    2990.812   -0.8184814    3.180542    161.6364   
199    8.300393   -47337.51    2272.881     2990.75   -0.8239746    3.180542    161.6364   
201    8.350516   -47335.95    2267.912    2990.719   -0.8239746    3.186035    161.6364   
202    8.400515    -47333.6    2260.462    2990.656   -0.8294678    3.186035    161.6364   
203    8.425515   -47332.81    2257.972    2990.656   -0.8294678    3.191528    161.6364   
204    8.475514   -47331.25    2253.003    2990.594   -0.8239746    3.191528    161.6309   
205    8.525513   -47328.89    2245.552    2990.562   -0.8294678    3.197021    161.6309   
206    8.575514   -47326.54    2238.093      2990.5   -0.8294678    3.197021    161.6309   
207    8.625639   -47324.98    2233.123    2990.469   -0.8294678    3.202515    161.6254   
208    8.675637   -47322.63    2225.674    2990.406   -0.8349609    3.208008    161.6254   
210    8.725641   -47321.06    2220.704    2990.375   -0.8349609    3.208008    161.6254   
211    8.775638    -47318.7    2213.244    2990.312   -0.8349609    3.213501    161.6199   
212    8.800639   -47317.92    2210.755    2990.312   -0.8349609    3.213501    161.6199   
213    8.850643   -47316.35    2205.785     2990.25   -0.8349609    3.213501    161.6199   
