# Contour_ID Feature ID	rel_n	rel_a 	rel_z

# Contour 0  (windshield)
34	133	 2.89645  -47.9015  5.71949
34	134	 3.32198  -47.1682  2.08711
34	149	 0	0	0	

# Contour 35 (front center star)
35	135	 -0.0319159  -0.0441701  0.26301
35	136	 0.201183  -0.073167  0.0759
35	137	 0.158892  0.00056839  -0.20702
35	138	 -0.093616  0.0741863  -0.19952
35	139	 -0.230262  0.0566211  0.07063


# Contour 28b (lower part of rear missile arm)
28b	140	 2.92757  -22.5263  5.92142
28b	141	 0.969749  -22.0338  6.41931
28b	142	 0.999454  -22.1344  6.77967
28b	143	 2.93182  -22.5661  6.07349

# Contour 29b (upper part of rear missile arm)
29b	144	 0.867248  -21.9541  6.42149
29b	145	 -0.232046  -21.6629  6.81381
29b	146	 -0.164386  -21.6883  7.10973
29b	147	 0.055714  -21.7492  7.1348
29b	148	 0.978006  -21.9928  6.77246
